model_name,pixel_count,img_id,actual_class,predicted_class,success,confidence_diff,prior_probs,predicted_probs,perturbation
All Convolution,1,5571,0,0,False,0.0041726828,"[9.9981546e-01 5.7734865e-06 3.9316751e-06 5.0219267e-08 1.0051682e-06
 1.8586314e-09 8.0796225e-10 2.1035863e-05 1.3328830e-04 1.9610516e-05]","[9.9564278e-01 8.2323990e-05 3.8947634e-05 6.2462700e-06 4.9471404e-05
 2.1184529e-07 2.0137636e-08 4.1241330e-04 3.5527695e-03 2.1471083e-04]",[ 19.67715836  18.11372753 255.06561706 255.27680314 255.11581042]
All Convolution,1,6047,0,0,False,4.4107437e-06,"[9.9999988e-01 2.2053907e-08 3.1613848e-08 1.1669091e-10 9.7656910e-11
 3.2130822e-11 3.8140047e-12 6.4722153e-13 1.1842362e-07 1.0545750e-09]","[9.9999547e-01 4.3747114e-08 8.8695105e-09 5.2307454e-11 4.0210144e-11
 3.1195505e-11 2.1784569e-12 1.1450179e-13 4.5288739e-06 4.8093701e-10]",[ 15.33328129  12.43510912 100.16042719  22.7422955   92.51132484]
All Convolution,1,3608,0,0,False,0.0062306523,"[9.9969810e-01 6.7052564e-09 2.7497471e-10 2.1803957e-07 1.5491110e-10
 2.6567212e-10 5.3572668e-13 5.9411654e-08 9.5294820e-07 3.0064120e-04]","[9.9346745e-01 1.2923078e-07 4.5376772e-10 1.0198210e-06 1.1927122e-10
 1.6592245e-09 8.6682484e-13 5.0529376e-08 4.3546293e-06 6.5269046e-03]",[ 19.05090476   9.464018   218.56500862 186.89111525 220.66833621]
All Convolution,1,7560,0,0,False,0.2857893,"[9.9685150e-01 2.0370345e-07 2.1304629e-06 3.9075476e-05 4.1885082e-06
 3.4396503e-08 8.7155287e-09 1.4208037e-07 1.3385521e-07 3.1026460e-03]","[7.1106219e-01 1.3202818e-05 2.5513467e-07 2.7413911e-05 1.6200166e-06
 3.6446515e-08 4.3336881e-09 5.6345339e-08 1.1277061e-07 2.8889522e-01]",[ 25.89081298  26.54705534   0.46892376  45.3833026  111.91030763]
All Convolution,1,5357,0,4,True,0.6445869,"[9.3291217e-01 9.0788932e-11 3.8874913e-07 1.3955558e-07 6.7087032e-02
 5.4115699e-09 8.8055847e-09 9.2766773e-11 3.1063377e-07 9.9224934e-11]","[2.8832525e-01 9.2094991e-11 1.6944541e-07 2.8157550e-07 7.1167350e-01
 1.1613677e-08 8.3691036e-09 9.6768732e-11 8.4193857e-07 9.2999650e-11]",[ 29.00243378  17.7121144  124.62744176 169.8657094    5.8716074 ]
All Convolution,1,9577,0,0,False,0.00020062923,"[9.9999046e-01 1.1143226e-06 6.8646345e-06 1.8321174e-08 1.8259252e-08
 7.4852213e-10 1.3381342e-09 8.2562197e-09 2.3234875e-07 1.3006833e-06]","[9.9978983e-01 4.5152133e-06 4.9950072e-06 5.7836349e-09 9.2012922e-09
 2.6020336e-10 6.0414573e-10 1.3502896e-08 2.0046899e-04 1.3299417e-07]",[11.30879815 19.48240361 78.58534656  0.37256038  0.23359916]
All Convolution,1,847,0,0,False,0.08215469,"[9.9471784e-01 8.5398932e-09 5.3783134e-09 6.9339112e-09 4.8314126e-07
 2.4708029e-08 1.0588046e-12 5.2814907e-03 2.2018487e-08 1.6784500e-07]","[9.1256315e-01 4.5789323e-09 4.0177859e-08 1.6959373e-08 5.2849232e-06
 1.4313301e-07 4.4055593e-12 8.7431163e-02 1.6197362e-07 1.2253444e-07]",[27.90953617  7.32549422 63.71784562 62.13390055 14.78553968]
All Convolution,1,8293,0,0,False,2.3841858e-07,"[1.0000000e+00 3.0273669e-14 6.1564703e-10 1.5959319e-13 4.9992324e-13
 6.6158151e-12 3.2449973e-11 2.6506870e-12 1.1881719e-09 3.2382741e-09]","[9.9999976e-01 2.9444655e-11 1.9690322e-10 8.0630549e-13 5.8812840e-13
 2.4084765e-10 1.5411464e-09 2.9102656e-12 1.9050539e-07 2.4033897e-08]",[ 3.40489899 17.7058435   8.45825151 10.95937387 56.06764221]
All Convolution,1,7034,0,0,False,0.00029712915,"[9.9998558e-01 2.2861816e-06 7.9995880e-12 4.3853466e-11 1.1264477e-11
 2.7427138e-12 2.0438351e-14 1.0823886e-09 4.7281362e-10 1.2212618e-05]","[9.9968845e-01 9.6046488e-06 8.1098652e-12 6.3318947e-11 4.3360658e-12
 1.1554701e-12 2.0127515e-14 1.0203288e-09 5.9717764e-10 3.0186103e-04]",[ 15.3865707   14.82534017 255.73913138  21.26537531  62.9866524 ]
All Convolution,1,7196,0,0,False,0.0012328625,"[9.99553144e-01 5.20156618e-07 4.46399208e-04 3.86371930e-08
 7.47187978e-10 2.63493784e-12 3.71723186e-09 1.14536255e-10
 1.90436555e-08 9.28898114e-09]","[9.9832028e-01 1.2504972e-06 1.6782176e-03 9.1353847e-08 1.1878447e-09
 9.4683992e-12 6.5451200e-09 4.6530155e-10 4.8389573e-08 7.7882527e-09]",[ 28.01832383  23.0497724  112.66117398  42.33030886 217.43312763]
